PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:44 [error] 5548#0: *186 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:45 [error] 5548#0: *191 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:45 [error] 5548#0: *186 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:45 [error] 5548#0: *190 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:46 [error] 5548#0: *190 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:46 [error] 5548#0: *190 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:46 [error] 5548#0: *189 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:47 [error] 5548#0: *189 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:47 [error] 5548#0: *189 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:47 [error] 5548#0: *189 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:48 [error] 5548#0: *189 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:48 [error] 5548#0: *187 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:48 [error] 5548#0: *187 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:49 [error] 5548#0: *187 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:45:32 [error] 5548#0: *248 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:45:33 [error] 5548#0: *248 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:46:16 [error] 5548#0: *247 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:46:53 [error] 5548#0: *251 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:46:54 [error] 5548#0: *250 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
